ID,Nom de l’œuvre,Artiste,Période / Thème,Rareté,URL Image,Description / Anecdote,Pack disponible,Notes
19,La Liberté guidant le peuple,Eugène Delacroix,Romantisme,Épique,https://upload.wikimedia.org/wikipedia/commons/0/02/La_Libert%C3%A9_guidant_le_peuple_-_Eug%C3%A8ne_Delacroix_-_Mus%C3%A9e_du_Louvre_Peintures_RF_129_-_apr%C3%A8s_restauration_2024.jpg,Oeuvre emblématique française,Thématique,-
20,Impression soleil levant,Claude Monet,Impressionnisme,Rare,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Claude_Monet%2C_Impression%2C_soleil_levant.jpg/987px-Claude_Monet%2C_Impression%2C_soleil_levant.jpg,Peinture qui a donné le nom à l’impressionnisme,Thématique,-
21,Le Déjeuner sur l’herbe,Édouard Manet,Réalisme,Rare,https://upload.wikimedia.org/wikipedia/commons/f/fc/%C3%89douard_Manet_-_Le_D%C3%A9jeuner_sur_l%27herbe.jpg,Peinture scandaleuse,Thématique,-
22,Olympia,Édouard Manet,Réalisme,Épique,https://upload.wikimedia.org/wikipedia/commons/9/9e/Edouard_Manet_-_Olympia_-_Google_Art_Project_2.jpg,Portrait provocateur,Thématique & Mystère,-
23,Les Raboteurs de parquet,Gustave Caillebotte,Impressionnisme,Rare,https://upload.wikimedia.org/wikipedia/commons/c/c0/Gustave_Caillebotte_-_The_Floor_Planers_-_Google_Art_Project.jpg,Scène réaliste,Thématique,-
24,Le Fils de l’homme,René Magritte,Surréalisme,Épique,https://upload.wikimedia.org/wikipedia/en/e/e5/Magritte_TheSonOfMan.jpg,Oeuvre emblématique surréaliste,Thématique & Mystère,-
25,La Statue de la Liberté,Frédéric Auguste Bartholdi,Réalisme,Rare,https://upload.wikimedia.org/wikipedia/commons/3/3d/Front_view_of_Statue_of_Liberty_with_pedestal_and_base_2024.jpg,Statue iconique américaine,Thématique,-
26,Venus de Milo,Alexandros de Antioch,Antiquité,Rare,https://upload.wikimedia.org/wikipedia/commons/a/af/V%C3%A9nus_de_Milo_-_Mus%C3%A9e_du_Louvre_AGER_LL_299_%3B_N_527_%3B_Ma_399.jpg,Statue grecque célèbre,Thématique,-
27,Moïse,Michel-Ange,Renaissance,Épique,https://upload.wikimedia.org/wikipedia/commons/5/59/Michelangelo%27s_Moses_%28Rome%29.jpg,Statue monumentale,Thématique & Mystère,-
28,Le Tricheur à l’as de carreau,Georges de La Tour,Baroque,Rare,https://upload.wikimedia.org/wikipedia/commons/a/a4/Le_Tricheur_%C3%A0_l%27as_de_carreau_-_Georges_de_La_Tour_-_Mus%C3%A9e_du_Louvre_Peintures_RF_1972_8.jpg,Oeuvre baroque,Thématique,-
29,Les Glaneuses,Jean-François Millet,Réalisme,Rare,https://upload.wikimedia.org/wikipedia/commons/1/1f/Jean-Fran%C3%A7ois_Millet_-_Gleaners_-_Google_Art_Project_2.jpg,Scène paysanne,Thématique,-
30,Le Bal du Moulin de la Galette,Pierre-Auguste Renoir,Impressionnisme,Rare,https://upload.wikimedia.org/wikipedia/commons/2/21/Pierre-Auguste_Renoir%2C_Le_Moulin_de_la_Galette.jpg,Peinture festive,Thématique,-
31,La Ronde de nuit,Rembrandt,Baroque,Épique,https://upload.wikimedia.org/wikipedia/commons/5/5a/The_Night_Watch_-_HD.jpg,Scène nocturne célèbre,Thématique & Mystère,-
32,Le Pont de l’Europe,Gustave Caillebotte,Impressionnisme,Rare,https://upload.wikimedia.org/wikipedia/commons/0/00/Caillebotte-PontdeL%27Europe-Geneva.jpg,Oeuvre urbaine,Thématique,-
33,La Mort de Marat,Jacques-Louis David,Classicisme,Épique,https://upload.wikimedia.org/wikipedia/commons/a/aa/Death_of_Marat_by_David.jpg,Oeuvre emblématique,Thématique & Mystère,-
34,Portrait d’Adele Bloch-Bauer,Gustav Klimt,Art Nouveau,Épique,https://upload.wikimedia.org/wikipedia/commons/1/18/Gustav_Klimt%2C_1907%2C_Adele_Bloch-Bauer_I%2C_Neue_Galerie_New_York.jpg,Célébre portrait,Thématique & Mystère,-
35,Le radeau de la Méduse,Théodore Géricault,Romantisme,Épique,https://upload.wikimedia.org/wikipedia/commons/1/15/JEAN_LOUIS_TH%C3%89ODORE_G%C3%89RICAULT_-_La_Balsa_de_la_Medusa_%28Museo_del_Louvre%2C_1818-19%29.jpg,Peinture dramatique,Thématique & Mystère,-
36,Tempête de neige en mer,William Turner,Romantisme,Rare,https://upload.wikimedia.org/wikipedia/commons/3/30/Joseph_Mallord_William_Turner_-_Snow_Storm_-_Steam-Boat_off_a_Harbour%27s_Mouth_-_WGA23178.jpg,Oeuvre dramatique,Thématique,-
37,Le Jardin d’Eden,Jan Brueghel l’Ancien,Renaissance,Rare,https://upload.wikimedia.org/wikipedia/commons/6/6d/Jan_Brueghel_de_Oude_en_Peter_Paul_Rubens_-_Het_aards_paradijs_met_de_zondeval_van_Adam_en_Eva.jpg,Triptyque luxuriant,Thématique,-
38,La Laitière,Johannes Vermeer,Baroque,Rare,https://upload.wikimedia.org/wikipedia/commons/2/20/Johannes_Vermeer_-_Het_melkmeisje_-_Google_Art_Project.jpg,Peinture quotidienne,Thématique,-
39,Le Penseur,Auguste Rodin,Modernisme,Épique,https://upload.wikimedia.org/wikipedia/commons/c/c5/Le_Penseur_in_the_Jardin_du_Mus%C3%A9e_Rodin%2C_Paris_March_2014.jpg,Statue emblématique,Thématique & Mystère,-
40,La Victoire de Samothrace,Anonyme,Antiquité,Épique,https://upload.wikimedia.org/wikipedia/commons/b/bf/Victoire_de_Samothrace_-_Musee_du_Louvre_-_20190812.jpg,Statue grecque célèbre,Thématique & Mystère,-
41,La Chaire de Saint-Pierre,Bernini,Baroque,Épique,https://upload.wikimedia.org/wikipedia/commons/4/4b/Saint_Peter%27s_Basilica_Papal_Altar_2020_P03.jpg,Architecture sculpturale,Thématique & Mystère,-
42,L’Angélus,Jean-François Millet,Réalisme,Rare,https://upload.wikimedia.org/wikipedia/commons/1/17/JEAN-FRAN%C3%87OIS_MILLET_-_El_%C3%81ngelus_%28Museo_de_Orsay%2C_1857-1859._%C3%93leo_sobre_lienzo%2C_55.5_x_66_cm%29.jpg,Scène paysanne,Thématique,-
43,Les Tournesols,Vincent van Gogh,Post-Impressionnisme,Rare,https://upload.wikimedia.org/wikipedia/commons/9/9d/Vincent_van_Gogh_-_Sunflowers_-_VGM_F458.jpg,Van Gogh peint ses célèbres tournesols pour décorer sa maison à Arles.,Thématique,-
44,L'École d'Athènes,Raphaël,Renaissance,Légendaire,https://upload.wikimedia.org/wikipedia/commons/c/c3/Raphael_School_of_Athens.jpg,Fresque de Raphaël représentant les plus grands philosophes de l’Antiquité.,Thématique & Mystère,-
45,Les Ambassadeurs,Hans Holbein le Jeune,Renaissance,Rare,https://upload.wikimedia.org/wikipedia/commons/8/88/Hans_Holbein_the_Younger_-_The_Ambassadors_-_Google_Art_Project.jpg,Portrait de deux diplomates avec crâne anamorphosé symbolisant la mortalité.,Thématique,-

